Time,Temperature(ÁC),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:00:00,28.3,0.1828,0.1847,0.1853,0.1891,0.1837,0.177,0.1786,0.1739,0.1842,0.1944,0.192,0.1892,0.1834,0.1906,0.1809,0.1864,0.1751,0.1659,0.1715,0.1857,0.1794,0.1815,0.1823,0.1826,0.1758,0.1843,0.1918,0.1846,0.1573,0.1625,0.1785,0.176,0.1867,0.1864,0.1884,0.1786,0.1955,0.2028,0.204,0.1785,0.1694,0.1701,0.176,0.186,0.1773,0.1809,0.1769,0.1747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0:15:00,28,0.1759,0.1782,0.1806,0.1885,0.1837,0.1782,0.1775,0.1727,0.183,0.1893,0.1779,0.181,0.1743,0.1795,0.1706,0.1874,0.1758,0.166,0.17,0.1843,0.1777,0.1737,0.1719,0.1676,0.1649,0.1731,0.1829,0.188,0.1565,0.1626,0.1766,0.1715,0.1851,0.1767,0.1796,0.1697,0.1801,0.186,0.1963,0.1816,0.1677,0.1709,0.1736,0.1825,0.1761,0.1759,0.1691,0.1681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0:30:00,28,0.1754,0.1774,0.1799,0.1878,0.184,0.1769,0.178,0.173,0.1837,0.1893,0.1775,0.1802,0.1738,0.1783,0.1671,0.1876,0.1765,0.1661,0.1704,0.1842,0.1782,0.1734,0.1712,0.167,0.164,0.1724,0.1813,0.1883,0.1559,0.1653,0.1769,0.1712,0.1855,0.1776,0.1788,0.169,0.1791,0.1847,0.196,0.1808,0.167,0.1701,0.1737,0.182,0.1763,0.1761,0.1684,0.1666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0:45:00,28,0.1746,0.1774,0.18,0.1871,0.1846,0.1772,0.1789,0.1737,0.1845,0.191,0.1773,0.1801,0.1738,0.1785,0.1669,0.1872,0.1761,0.1663,0.1714,0.1851,0.1791,0.1731,0.1708,0.1669,0.1638,0.1723,0.1812,0.1885,0.1558,0.1622,0.1775,0.1719,0.1861,0.1754,0.1785,0.1686,0.1789,0.1851,0.1958,0.1807,0.1668,0.1707,0.1746,0.1823,0.1767,0.1764,0.1681,0.1668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:00:00,28,0.1744,0.1773,0.1797,0.1864,0.1844,0.1767,0.1801,0.1749,0.1855,0.1911,0.1772,0.1799,0.1735,0.1782,0.1665,0.1866,0.1757,0.1656,0.1726,0.186,0.18,0.173,0.1705,0.1666,0.1634,0.1721,0.1808,0.1894,0.1555,0.1621,0.1782,0.1724,0.1868,0.1754,0.1782,0.168,0.1786,0.1846,0.1957,0.1819,0.1666,0.17,0.1752,0.1828,0.1774,0.1773,0.1678,0.1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:15:00,28,0.1741,0.177,0.1794,0.1857,0.1843,0.1764,0.1816,0.1764,0.187,0.1912,0.1767,0.1799,0.1734,0.1778,0.1659,0.186,0.1754,0.1651,0.174,0.1875,0.1816,0.1727,0.17,0.1665,0.1632,0.1719,0.1805,0.1887,0.1553,0.1615,0.1789,0.1733,0.1876,0.1752,0.1778,0.168,0.1784,0.1846,0.1957,0.1819,0.1663,0.1692,0.1758,0.1838,0.1783,0.1778,0.1675,0.1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:30:00,28,0.174,0.1769,0.1797,0.1854,0.1842,0.1765,0.1839,0.1783,0.1889,0.1915,0.1768,0.1796,0.1732,0.178,0.1661,0.1859,0.1752,0.1651,0.1761,0.1892,0.1834,0.1729,0.1701,0.1662,0.1631,0.172,0.1805,0.1882,0.1553,0.1724,0.1804,0.1743,0.189,0.1755,0.1779,0.1675,0.1782,0.1848,0.1955,0.1809,0.1662,0.1691,0.1776,0.1846,0.1794,0.1772,0.1677,0.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:45:00,28,0.1741,0.177,0.1801,0.1851,0.1842,0.1764,0.1864,0.1806,0.1913,0.1916,0.1766,0.1797,0.1732,0.1782,0.1662,0.1859,0.1752,0.1654,0.1784,0.1915,0.1859,0.1727,0.1699,0.1662,0.1631,0.1719,0.1804,0.1878,0.1552,0.1615,0.1819,0.1758,0.1906,0.1754,0.1779,0.1674,0.1782,0.185,0.1956,0.1808,0.1661,0.1694,0.1794,0.1863,0.1807,0.1757,0.1676,0.1666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2:00:00,28,0.1739,0.1768,0.1798,0.1849,0.1841,0.1762,0.1892,0.1833,0.1943,0.1914,0.1766,0.1793,0.173,0.1778,0.1658,0.1857,0.175,0.1651,0.1813,0.1941,0.1887,0.1727,0.1698,0.1659,0.1628,0.1718,0.1801,0.1875,0.1552,0.1612,0.1835,0.1772,0.1923,0.1754,0.1777,0.1672,0.178,0.1847,0.1954,0.1808,0.1661,0.1689,0.1811,0.1878,0.1822,0.1755,0.1675,0.1664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2:15:00,28,0.174,0.1768,0.18,0.1847,0.1844,0.1766,0.1931,0.1869,0.198,0.1916,0.1765,0.1796,0.1731,0.1781,0.1659,0.1857,0.1749,0.1652,0.185,0.1977,0.1921,0.1727,0.17,0.1659,0.1629,0.1717,0.1807,0.1873,0.1551,0.1754,0.1858,0.1794,0.1945,0.1752,0.1778,0.1673,0.1777,0.1849,0.1953,0.1807,0.1659,0.169,0.1834,0.1901,0.1839,0.1752,0.1674,0.1661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
