well_id,strain,carbon_source
A1,4E4,NCC
A2,4E4,NCC
A3,4E4,NCC
A4,4E4,10mM_Succ
A5,4E4,10mM_Succ
A6,4E4,10mM_Succ
A7,4E4,30mM_Succ
A8,4E4,30mM_Succ
A9,4E4,30mM_Succ
A10,4E4,Glucose
A11,4E4,Glucose
A12,4E4,Glucose
B1,4E4,NCC
B2,4E4,NCC
B3,4E4,NCC
B4,4E4,10mM_Succ
B5,4E4,10mM_Succ
B6,4E4,10mM_Succ
B7,4E4,30mM_Succ
B8,4E4,30mM_Succ
B9,4E4,30mM_Succ
B10,4E4,Glucose
B11,4E4,Glucose
B12,4E4,Glucose
C1,WT,NCC
C2,WT,NCC
C3,WT,NCC
C4,WT,10mM_Succ
C5,WT,10mM_Succ
C6,WT,10mM_Succ
C7,WT,30mM_Succ
C8,WT,30mM_Succ
C9,WT,30mM_Succ
C10,WT,Glucose
C11,WT,Glucose
C12,WT,Glucose
D1,WT,NCC
D2,WT,NCC
D3,WT,NCC
D4,WT,10mM_Succ
D5,WT,10mM_Succ
D6,WT,10mM_Succ
D7,WT,30mM_Succ
D8,WT,30mM_Succ
D9,WT,30mM_Succ
D10,WT,Glucose
D11,WT,Glucose
D12,WT,Glucose
E1,N/A,N/A
E2,N/A,N/A
E3,N/A,N/A
E4,N/A,N/A
E5,N/A,N/A
E6,N/A,N/A
E7,N/A,N/A
E8,N/A,N/A
E9,N/A,N/A
E10,N/A,N/A
E11,N/A,N/A
E12,N/A,N/A
F1,N/A,N/A
F2,N/A,N/A
F3,N/A,N/A
F4,N/A,N/A
F5,N/A,N/A
F6,N/A,N/A
F7,N/A,N/A
F8,N/A,N/A
F9,N/A,N/A
F10,N/A,N/A
F11,N/A,N/A
F12,N/A,N/A
G1,N/A,N/A
G2,N/A,N/A
G3,N/A,N/A
G4,N/A,N/A
G5,N/A,N/A
G6,N/A,N/A
G7,N/A,N/A
G8,N/A,N/A
G9,N/A,N/A
G10,N/A,N/A
G11,N/A,N/A
G12,N/A,N/A
H1,N/A,N/A
H2,N/A,N/A
H3,N/A,N/A
H4,N/A,N/A
H5,N/A,N/A
H6,N/A,N/A
H7,N/A,N/A
H8,N/A,N/A
H9,N/A,N/A
H10,N/A,N/A
H11,N/A,N/A
H12,N/A,N/A
